sample_id	cluster_id	size	mean	std
314007-TP3	0	1304	0.8327778662723222	0.028534187958663595
314007-TC1	0	1304	0.9999772192681786	0.00047768739386107626
314007-TP1	0	1304	0.4620694571240973	0.01553433209866141
314007-V	0	1304	0.6313325306695228	0.019248290303533172
314007-TP2-2	0	1304	0.9244606851219817	0.020698907141851373
314007-TP3	1	1	0.9339184165439509	0.06870719673255728
314007-TC1	1	1	0.86977436191824	0.12787031185511016
314007-TP1	1	1	0.9358725850590892	0.06947026183823414
314007-V	1	1	0.94087750573984	0.0618545088751879
314007-TP2-2	1	1	0.8018472508852977	0.17427516600938514
