sample_id	cluster_id	size	mean	std
314155-TC2	0	852	0.2243915770936533	0.006393388761402807
314155-TC1	0	852	0.23600710616696072	0.007082005579635854
314155-TP2-1	0	852	0.31330041375427997	0.010187651264883935
314155-V	0	852	0.3071829903564149	0.012497991281421832
314155-TP1-1	0	852	0.37312235261699106	0.031003080252401276
314155-TC2	1	1	0.5717437715197617	0.22472158824889232
314155-TC1	1	1	0.6842212560858557	0.1873904501604787
314155-TP2-1	1	1	0.5000000000000003	0.2915475947422644
314155-V	1	1	0.5000000000000003	0.2915475947422644
314155-TP1-1	1	1	0.5000000000000003	0.2915475947422644
314155-TC2	2	82	0.6610408248360422	0.0167088647875398
314155-TC1	2	82	0.6472679741855142	0.0197800824299038
314155-TP2-1	2	82	0.874683877670543	0.0170899246973541
314155-V	2	82	0.7537625159574393	0.019128922981159386
314155-TP1-1	2	82	0.7062390719977863	0.0434703676755961
314155-TC2	3	1	0.5000000000000003	0.2915475947422644
314155-TC1	3	1	0.5000000000000003	0.2915475947422644
314155-TP2-1	3	1	0.5000000000000003	0.2915475947422644
314155-V	3	1	0.5000000000000003	0.2915475947422644
314155-TP1-1	3	1	0.7317407493566629	0.19761647975708962
314155-TC2	4	1	0.5000000000000003	0.2915475947422644
314155-TC1	4	1	0.6071983530223708	0.21600182200733525
314155-TP2-1	4	1	0.5000000000000003	0.2915475947422644
314155-V	4	1	0.5000000000000003	0.2915475947422644
314155-TP1-1	4	1	0.5000000000000003	0.2915475947422644
314155-TC2	5	77	0.480250766287832	0.01478910135821691
314155-TC1	5	77	0.4645198408103185	0.017506998547993948
314155-TP2-1	5	77	0.6699188201148311	0.017648319626241124
314155-V	5	77	0.5322158936958004	0.016794738079270448
314155-TP1-1	5	77	0.4659645176106321	0.03713757408747349
314155-TC2	6	1	0.6006757259707883	0.23971713589939952
314155-TC1	6	1	0.5000000000000003	0.2915475947422644
314155-TP2-1	6	1	0.5000000000000003	0.2915475947422644
314155-V	6	1	0.5000000000000003	0.2915475947422644
314155-TP1-1	6	1	0.5000000000000003	0.2915475947422644
314155-TC2	7	1	0.5000000000000003	0.2915475947422644
314155-TC1	7	1	0.5000000000000003	0.2915475947422644
314155-TP2-1	7	1	0.668224076812104	0.20333340058094843
314155-V	7	1	0.5000000000000003	0.2915475947422644
314155-TP1-1	7	1	0.5000000000000003	0.2915475947422644
314155-TC2	8	1	0.5000000000000003	0.2915475947422644
314155-TC1	8	1	0.5000000000000003	0.2915475947422644
314155-TP2-1	8	1	0.6208722799742736	0.22063250786207483
314155-V	8	1	0.5000000000000003	0.2915475947422644
314155-TP1-1	8	1	0.5000000000000003	0.2915475947422644
314155-TC2	9	1	0.5000000000000003	0.2915475947422644
314155-TC1	9	1	0.5000000000000003	0.2915475947422644
314155-TP2-1	9	1	0.5000000000000003	0.2915475947422644
314155-V	9	1	0.5000000000000003	0.2915475947422644
314155-TP1-1	9	1	0.7317407493566629	0.19761647975708962
314155-TC2	10	82	0.9582870974511016	0.018420618553210436
314155-TC1	10	82	0.8019316458919896	0.02453695350108795
314155-TP2-1	10	82	0.999971012951693	0.0005388843182394596
314155-V	10	82	0.9952151800978791	0.007676787907740118
314155-TP1-1	10	82	0.9877567180482625	0.01575463885631495
314155-TC2	11	3	0.42912050383581907	0.11991944996990324
314155-TC1	11	3	0.5443753795255858	0.16990249249114403
314155-TP2-1	11	3	0.5185986882610125	0.17334636599779746
314155-V	11	3	0.5818797033786735	0.18726020803986337
314155-TP1-1	11	3	0.4922413630942352	0.2244103977441716
314155-TC2	12	1	0.6794184246367756	0.19034521016891226
