sample_id	cluster_id	size	mean	std
313544-S	0	1276	0.9998731863842434	0.0011315096748899572
313544-S1	0	1276	0.42180843911182	0.016391876596846183
313544-TP1	0	1276	0.9999522337909394	0.0006922738990273767
313544-TC-2	0	1276	0.8081206520727323	0.02727441381176232
313544-TP2	0	1276	0.9999984776651651	0.00012339940481307374
313544-S	1	1	0.5853814744283176	0.24943747808447586
313544-S1	1	1	0.5000000000000003	0.2915475947422644
313544-TP1	1	1	0.5000000000000003	0.2915475947422644
313544-TC-2	1	1	0.5771847553635929	0.2502117407873284
313544-TP2	1	1	0.4430346925818223	0.25752583474698293
313544-S	2	1	0.5000000000000003	0.2915475947422644
313544-S1	2	1	0.5000000000000003	0.2915475947422644
313544-TP1	2	1	0.5000000000000003	0.2915475947422644
313544-TC-2	2	1	0.5000000000000003	0.2915475947422644
313544-TP2	2	1	0.3905896813074717	0.24813038122305148
313544-S	3	1	0.5854581836502639	0.2490840045472784
313544-S1	3	1	0.5000000000000003	0.2915475947422644
313544-TP1	3	1	0.5000000000000003	0.2915475947422644
313544-TC-2	3	1	0.5000000000000003	0.2915475947422644
313544-TP2	3	1	0.45796594347136577	0.258579457849865
313544-S	4	1	0.5000000000000003	0.2915475947422644
313544-S1	4	1	0.5000000000000003	0.2915475947422644
313544-TP1	4	1	0.39443013219629663	0.23484274192152174
313544-TC-2	4	1	0.5000000000000003	0.2915475947422644
313544-TP2	4	1	0.5000000000000003	0.2915475947422644
313544-S	5	1	0.5000000000000003	0.2915475947422644
313544-S1	5	1	0.5000000000000003	0.2915475947422644
313544-TP1	5	1	0.5000000000000003	0.2915475947422644
313544-TC-2	5	1	0.5000000000000003	0.2915475947422644
313544-TP2	5	1	0.4601608352273984	0.2407116493646589
313544-S	6	1	0.5000000000000003	0.2915475947422644
313544-S1	6	1	0.5000000000000003	0.2915475947422644
313544-TP1	6	1	0.5000000000000003	0.2915475947422644
313544-TC-2	6	1	0.5000000000000003	0.2915475947422644
313544-TP2	6	1	0.5030877292543384	0.24217305415908502
313544-S	7	1	0.5000000000000003	0.2915475947422644
313544-S1	7	1	0.5000000000000003	0.2915475947422644
313544-TP1	7	1	0.5000000000000003	0.2915475947422644
313544-TC-2	7	1	0.5000000000000003	0.2915475947422644
313544-TP2	7	1	0.4457298553267179	0.22489231826510192
313544-S	8	1	0.5000000000000003	0.2915475947422644
313544-S1	8	1	0.5000000000000003	0.2915475947422644
313544-TP1	8	1	0.5000000000000003	0.2915475947422644
313544-TC-2	8	1	0.5000000000000003	0.2915475947422644
313544-TP2	8	1	0.5109723618283836	0.2419056264294433
313544-S	9	1	0.5000000000000003	0.2915475947422644
313544-S1	9	1	0.5000000000000003	0.2915475947422644
313544-TP1	9	1	0.5000000000000003	0.2915475947422644
313544-TC-2	9	1	0.5000000000000003	0.2915475947422644
313544-TP2	9	1	0.3604257886826175	0.23966456134877842
313544-S	10	1	0.5000000000000003	0.2915475947422644
313544-S1	10	1	0.5000000000000003	0.2915475947422644
313544-TP1	10	1	0.5000000000000003	0.2915475947422644
313544-TC-2	10	1	0.5000000000000003	0.2915475947422644
313544-TP2	10	1	0.5142439254134427	0.23426008511673393
313544-S	11	1	0.5198507841346955	0.26199801347958196
313544-S1	11	1	0.4729275698498736	0.26762006267159577
313544-TP1	11	1	0.5000000000000003	0.2915475947422644
313544-TC-2	11	1	0.5000000000000003	0.2915475947422644
313544-TP2	11	1	0.35423699677772413	0.23913324673802067
313544-S	12	1	0.5687491762543846	0.25226897394240777
313544-S1	12	1	0.5000000000000003	0.2915475947422644
313544-TP1	12	1	0.5000000000000003	0.2915475947422644
313544-TC-2	12	1	0.6095572612714097	0.24510663976661137
313544-TP2	12	1	0.42991852824127225	0.22156431700548185
313544-S	13	1	0.6210904669440184	0.24283806186970314
313544-S1	13	1	0.578629349756703	0.24134864370851858
313544-TP1	13	1	0.4939191741161613	0.2474698069069295
313544-TC-2	13	1	0.5973895079408389	0.2462299910451284
313544-TP2	13	1	0.5749592439497764	0.2274398777169177
313544-S	14	1	0.5000000000000003	0.2915475947422644
313544-S1	14	1	0.5000000000000003	0.2915475947422644
313544-TP1	14	1	0.5000000000000003	0.2915475947422644
313544-TC-2	14	1	0.5000000000000003	0.2915475947422644
313544-TP2	14	1	0.4585379572643319	0.2590495193359023
313544-S	15	1	0.5000000000000003	0.2915475947422644
313544-S1	15	1	0.5000000000000003	0.2915475947422644
313544-TP1	15	1	0.5000000000000003	0.2915475947422644
313544-TC-2	15	1	0.5000000000000003	0.2915475947422644
313544-TP2	15	1	0.4868794898930831	0.24231006715480002
313544-S	16	1	0.5000000000000003	0.2915475947422644
313544-S1	16	1	0.5000000000000003	0.2915475947422644
313544-TP1	16	1	0.5000000000000003	0.2915475947422644
313544-TC-2	16	1	0.5000000000000003	0.2915475947422644
313544-TP2	16	1	0.4080268149272477	0.23657958100915943
313544-S	17	1	0.5993853832762019	0.24750663549612592
313544-S1	17	1	0.5000000000000003	0.2915475947422644
313544-TP1	17	1	0.5129861527895025	0.2580253980079919
313544-TC-2	17	1	0.4769296534512652	0.2531047963667772
313544-TP2	17	1	0.5262388274939018	0.2565775662864001
313544-S	18	1	0.5000000000000003	0.2915475947422644
313544-S1	18	1	0.5000000000000003	0.2915475947422644
313544-TP1	18	1	0.5000000000000003	0.2915475947422644
313544-TC-2	18	1	0.5000000000000003	0.2915475947422644
313544-TP2	18	1	0.5030516081892248	0.24428421394065536
313544-S	19	1	0.5000000000000003	0.2915475947422644
313544-S1	19	1	0.5000000000000003	0.2915475947422644
313544-TP1	19	1	0.5000000000000003	0.2915475947422644
313544-TC-2	19	1	0.5000000000000003	0.2915475947422644
313544-TP2	19	1	0.4462417955843838	0.25764025038957045
313544-S	20	1	0.5000000000000003	0.2915475947422644
313544-S1	20	1	0.5000000000000003	0.2915475947422644
313544-TP1	20	1	0.5000000000000003	0.2915475947422644
313544-TC-2	20	1	0.5000000000000003	0.2915475947422644
313544-TP2	20	1	0.43193884433680724	0.25577337835877634
313544-S	21	1	0.5000000000000003	0.2915475947422644
313544-S1	21	1	0.5000000000000003	0.2915475947422644
313544-TP1	21	1	0.5000000000000003	0.2915475947422644
313544-TC-2	21	1	0.5000000000000003	0.2915475947422644
313544-TP2	21	1	0.34358044986382535	0.24922733439127293
313544-S	22	1	0.5000000000000003	0.2915475947422644
313544-S1	22	1	0.5000000000000003	0.2915475947422644
313544-TP1	22	1	0.5000000000000003	0.2915475947422644
313544-TC-2	22	1	0.5000000000000003	0.2915475947422644
313544-TP2	22	1	0.4759084528806144	0.23003905367810798
