sample_id	cluster_id	size	mean	std
311252-TP2-2	0	44	0.6889794185857827	0.04896247067312107
311252-TC1	0	44	0.9954117039963291	0.008077055281311753
311252-TC2	0	44	0.7273737362268635	0.0318094236897758
311252-V	0	44	0.9996815553127767	0.0018106563899151582
311252-S	0	44	0.8450031156080495	0.08272082864938933
311252-TP1	0	44	0.9940823486150243	0.009295145161919432
311252-TP2-2	1	300	0.36551827601042286	0.015439477021486814
311252-TC1	1	300	0.9894360609085618	0.013143541885422856
311252-TC2	1	300	0.48352100310386675	0.015042394465317608
311252-V	1	300	0.9980841392835546	0.004635522774188361
311252-S	1	300	0.4438415526138675	0.02700107985667395
311252-TP1	1	300	0.6749734496125852	0.02180875642905137
311252-TP2-2	2	644	0.16063856503394666	0.009436150726595033
311252-TC1	2	644	0.42687998838668384	0.02360973742408208
311252-TC2	2	644	0.14477303802392966	0.009204158273828334
311252-V	2	644	0.30882014382406586	0.02171142603967771
311252-S	2	644	0.3679694160793821	0.022906069475718348
311252-TP1	2	644	0.1991509698861342	0.012241973706828889
311252-TP2-2	3	1	0.5000000000000003	0.2915475947422644
311252-TC1	3	1	0.5000000000000003	0.2915475947422644
311252-TC2	3	1	0.5000000000000003	0.2915475947422644
311252-V	3	1	0.5000000000000003	0.2915475947422644
311252-S	3	1	0.5000000000000003	0.2915475947422644
311252-TP1	3	1	0.5794070507227288	0.24664888946796415
311252-TP2-2	4	1	0.5000000000000003	0.2915475947422644
311252-TC1	4	1	0.5000000000000003	0.2915475947422644
311252-TC2	4	1	0.5000000000000003	0.2915475947422644
311252-V	4	1	0.5000000000000003	0.2915475947422644
311252-S	4	1	0.7315339891013672	0.18735197565101575
311252-TP1	4	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	5	1	0.43006258407566794	0.21091375570937718
311252-TC1	5	1	0.5000000000000003	0.2915475947422644
311252-TC2	5	1	0.5000000000000003	0.2915475947422644
311252-V	5	1	0.5000000000000003	0.2915475947422644
311252-S	5	1	0.6545145615619062	0.21206689376270357
311252-TP1	5	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	6	1	0.5000000000000003	0.2915475947422644
311252-TC1	6	1	0.6702821715546592	0.21002165890952113
311252-TC2	6	1	0.5000000000000003	0.2915475947422644
311252-V	6	1	0.5000000000000003	0.2915475947422644
311252-S	6	1	0.5000000000000003	0.2915475947422644
311252-TP1	6	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	7	1	0.5000000000000003	0.2915475947422644
311252-TC1	7	1	0.6839509174872133	0.2062485363924351
311252-TC2	7	1	0.5000000000000003	0.2915475947422644
311252-V	7	1	0.5000000000000003	0.2915475947422644
311252-S	7	1	0.5000000000000003	0.2915475947422644
311252-TP1	7	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	8	1	0.5000000000000003	0.2915475947422644
311252-TC1	8	1	0.5000000000000003	0.2915475947422644
311252-TC2	8	1	0.5000000000000003	0.2915475947422644
311252-V	8	1	0.5000000000000003	0.2915475947422644
311252-S	8	1	0.6115296842010656	0.2305787373425427
311252-TP1	8	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	9	1	0.44542522349093566	0.23069328572008724
311252-TC1	9	1	0.5000000000000003	0.2915475947422644
311252-TC2	9	1	0.5000000000000003	0.2915475947422644
311252-V	9	1	0.5000000000000003	0.2915475947422644
311252-S	9	1	0.6289646966678274	0.22927020661864791
311252-TP1	9	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	10	1	0.5000000000000003	0.2915475947422644
311252-TC1	10	1	0.647862045547552	0.2084811852478592
311252-TC2	10	1	0.564900366482538	0.25041072777584095
311252-V	10	1	0.5000000000000003	0.2915475947422644
311252-S	10	1	0.5000000000000003	0.2915475947422644
311252-TP1	10	1	0.5527535084189126	0.2571338036851833
311252-TP2-2	11	15	0.3411676100426625	0.0796194704447096
311252-TC1	11	15	0.5000000000000003	0.2915475947422644
311252-TC2	11	15	0.30162578833798825	0.0877265636015375
311252-V	11	15	0.6160561660286518	0.18743440614561907
311252-S	11	15	0.4663409900218992	0.20307048323735652
311252-TP1	11	15	0.44197144147682854	0.10785112374870423
311252-TP2-2	12	1	0.5000000000000003	0.2915475947422644
311252-TC1	12	1	0.5000000000000003	0.2915475947422644
311252-TC2	12	1	0.5000000000000003	0.2915475947422644
311252-V	12	1	0.5000000000000003	0.2915475947422644
311252-S	12	1	0.6613553116063923	0.2100956123717337
311252-TP1	12	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	13	1	0.5000000000000003	0.2915475947422644
311252-TC1	13	1	0.5000000000000003	0.2915475947422644
311252-TC2	13	1	0.5000000000000003	0.2915475947422644
311252-V	13	1	0.5000000000000003	0.2915475947422644
311252-S	13	1	0.631308648154725	0.22412540874092593
311252-TP1	13	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	14	1	0.5000000000000003	0.2915475947422644
311252-TC1	14	1	0.5000000000000003	0.2915475947422644
311252-TC2	14	1	0.5000000000000003	0.2915475947422644
311252-V	14	1	0.5000000000000003	0.2915475947422644
311252-S	14	1	0.6240975232734126	0.22811848085843
311252-TP1	14	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	15	1	0.4798472524791507	0.2306114772420496
311252-TC1	15	1	0.5000000000000003	0.2915475947422644
311252-TC2	15	1	0.5000000000000003	0.2915475947422644
311252-V	15	1	0.5000000000000003	0.2915475947422644
311252-S	15	1	0.5000000000000003	0.2915475947422644
311252-TP1	15	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	16	1	0.5000000000000003	0.2915475947422644
311252-TC1	16	1	0.5000000000000003	0.2915475947422644
311252-TC2	16	1	0.5000000000000003	0.2915475947422644
311252-V	16	1	0.5000000000000003	0.2915475947422644
311252-S	16	1	0.8166589099670093	0.14690927925860842
311252-TP1	16	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	17	1	0.5000000000000003	0.2915475947422644
311252-TC1	17	1	0.5000000000000003	0.2915475947422644
311252-TC2	17	1	0.5413553101440108	0.2504754392171848
311252-V	17	1	0.5000000000000003	0.2915475947422644
311252-S	17	1	0.5000000000000003	0.2915475947422644
311252-TP1	17	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	18	1	0.5000000000000003	0.2915475947422644
311252-TC1	18	1	0.5000000000000003	0.2915475947422644
311252-TC2	18	1	0.5000000000000003	0.2915475947422644
311252-V	18	1	0.5000000000000003	0.2915475947422644
311252-S	18	1	0.5000000000000003	0.2915475947422644
311252-TP1	18	1	0.5755050463818001	0.2450542947863935
311252-TP2-2	19	1	0.5000000000000003	0.2915475947422644
311252-TC1	19	1	0.5000000000000003	0.2915475947422644
311252-TC2	19	1	0.5000000000000003	0.2915475947422644
311252-V	19	1	0.5000000000000003	0.2915475947422644
311252-S	19	1	0.6152691072194121	0.22754445223996236
311252-TP1	19	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	20	1	0.5000000000000003	0.2915475947422644
311252-TC1	20	1	0.5000000000000003	0.2915475947422644
311252-TC2	20	1	0.5000000000000003	0.2915475947422644
311252-V	20	1	0.5000000000000003	0.2915475947422644
311252-S	20	1	0.5000000000000003	0.2915475947422644
311252-TP1	20	1	0.5505052992862538	0.2508501760358345
311252-TP2-2	21	1	0.5000000000000003	0.2915475947422644
311252-TC1	21	1	0.5000000000000003	0.2915475947422644
311252-TC2	21	1	0.5000000000000003	0.2915475947422644
311252-V	21	1	0.5000000000000003	0.2915475947422644
311252-S	21	1	0.7305629372915449	0.19145943587763936
311252-TP1	21	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	22	1	0.5000000000000003	0.2915475947422644
311252-TC1	22	1	0.5000000000000003	0.2915475947422644
311252-TC2	22	1	0.5000000000000003	0.2915475947422644
311252-V	22	1	0.5000000000000003	0.2915475947422644
311252-S	22	1	0.7983320154286175	0.16306584227283713
311252-TP1	22	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	23	1	0.5000000000000003	0.2915475947422644
311252-TC1	23	1	0.5000000000000003	0.2915475947422644
311252-TC2	23	1	0.5000000000000003	0.2915475947422644
311252-V	23	1	0.5000000000000003	0.2915475947422644
311252-S	23	1	0.7341041543402124	0.19421387178363
311252-TP1	23	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	24	1	0.5000000000000003	0.2915475947422644
311252-TC1	24	1	0.5000000000000003	0.2915475947422644
311252-TC2	24	1	0.5000000000000003	0.2915475947422644
311252-V	24	1	0.5000000000000003	0.2915475947422644
311252-S	24	1	0.8122795798978732	0.15602014245791948
311252-TP1	24	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	25	1	0.5000000000000003	0.2915475947422644
311252-TC1	25	1	0.5000000000000003	0.2915475947422644
311252-TC2	25	1	0.5000000000000003	0.2915475947422644
311252-V	25	1	0.6182874047177155	0.218153860030595
311252-S	25	1	0.5000000000000003	0.2915475947422644
311252-TP1	25	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	26	1	0.6122357472953076	0.22057542855869094
311252-TC1	26	1	0.5000000000000003	0.2915475947422644
311252-TC2	26	1	0.5000000000000003	0.2915475947422644
311252-V	26	1	0.5000000000000003	0.2915475947422644
311252-S	26	1	0.7268119395368509	0.19975592354220945
311252-TP1	26	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	27	1	0.5000000000000003	0.2915475947422644
311252-TC1	27	1	0.5000000000000003	0.2915475947422644
311252-TC2	27	1	0.5000000000000003	0.2915475947422644
311252-V	27	1	0.5000000000000003	0.2915475947422644
311252-S	27	1	0.685677252602999	0.20792914324165124
311252-TP1	27	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	28	1	0.5000000000000003	0.2915475947422644
311252-TC1	28	1	0.5000000000000003	0.2915475947422644
311252-TC2	28	1	0.5000000000000003	0.2915475947422644
311252-V	28	1	0.5000000000000003	0.2915475947422644
311252-S	28	1	0.6258225842203153	0.2253329514989745
311252-TP1	28	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	29	1	0.5000000000000003	0.2915475947422644
311252-TC1	29	1	0.6470390500493359	0.2126034130027811
311252-TC2	29	1	0.5000000000000003	0.2915475947422644
311252-V	29	1	0.5000000000000003	0.2915475947422644
311252-S	29	1	0.5000000000000003	0.2915475947422644
311252-TP1	29	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	30	1	0.5000000000000003	0.2915475947422644
311252-TC1	30	1	0.5000000000000003	0.2915475947422644
311252-TC2	30	1	0.5000000000000003	0.2915475947422644
311252-V	30	1	0.5000000000000003	0.2915475947422644
311252-S	30	1	0.6845927454110016	0.21727444574985647
311252-TP1	30	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	31	1	0.5788648558109942	0.2487231670860871
311252-TC1	31	1	0.5000000000000003	0.2915475947422644
311252-TC2	31	1	0.5000000000000003	0.2915475947422644
311252-V	31	1	0.5000000000000003	0.2915475947422644
311252-S	31	1	0.5000000000000003	0.2915475947422644
311252-TP1	31	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	32	1	0.5000000000000003	0.2915475947422644
311252-TC1	32	1	0.5000000000000003	0.2915475947422644
311252-TC2	32	1	0.5000000000000003	0.2915475947422644
311252-V	32	1	0.5000000000000003	0.2915475947422644
311252-S	32	1	0.6784471384319122	0.20836801804434668
311252-TP1	32	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	33	1	0.5000000000000003	0.2915475947422644
311252-TC1	33	1	0.5000000000000003	0.2915475947422644
311252-TC2	33	1	0.5000000000000003	0.2915475947422644
311252-V	33	1	0.5000000000000003	0.2915475947422644
311252-S	33	1	0.6253904780866202	0.2226543940936557
311252-TP1	33	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	34	1	0.5000000000000003	0.2915475947422644
311252-TC1	34	1	0.6825096602935738	0.1967236478240166
311252-TC2	34	1	0.5000000000000003	0.2915475947422644
311252-V	34	1	0.5000000000000003	0.2915475947422644
311252-S	34	1	0.5000000000000003	0.2915475947422644
311252-TP1	34	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	35	1	0.5000000000000003	0.2915475947422644
311252-TC1	35	1	0.5000000000000003	0.2915475947422644
311252-TC2	35	1	0.5000000000000003	0.2915475947422644
311252-V	35	1	0.5000000000000003	0.2915475947422644
311252-S	35	1	0.6213380981393677	0.23219357932053286
311252-TP1	35	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	36	1	0.5000000000000003	0.2915475947422644
311252-TC1	36	1	0.5000000000000003	0.2915475947422644
311252-TC2	36	1	0.5000000000000003	0.2915475947422644
311252-V	36	1	0.5000000000000003	0.2915475947422644
311252-S	36	1	0.5000000000000003	0.2915475947422644
311252-TP1	36	1	0.5819960183087067	0.24300826008057141
311252-TP2-2	37	1	0.5000000000000003	0.2915475947422644
311252-TC1	37	1	0.6552345663626774	0.2193578036617859
311252-TC2	37	1	0.5000000000000003	0.2915475947422644
311252-V	37	1	0.5000000000000003	0.2915475947422644
311252-S	37	1	0.5000000000000003	0.2915475947422644
311252-TP1	37	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	38	1	0.5000000000000003	0.2915475947422644
311252-TC1	38	1	0.6385619069107393	0.22052076033548526
311252-TC2	38	1	0.5000000000000003	0.2915475947422644
311252-V	38	1	0.5000000000000003	0.2915475947422644
311252-S	38	1	0.5000000000000003	0.2915475947422644
311252-TP1	38	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	39	2	0.9534691790536718	0.04511967966265556
311252-TC1	39	2	0.5000000000000003	0.2915475947422644
311252-TC2	39	2	0.5000000000000003	0.2915475947422644
311252-V	39	2	0.5000000000000003	0.2915475947422644
311252-S	39	2	0.5000000000000003	0.2915475947422644
311252-TP1	39	2	0.5000000000000003	0.2915475947422644
311252-TP2-2	40	1	0.5000000000000003	0.2915475947422644
311252-TC1	40	1	0.671606705504461	0.20260050401155036
311252-TC2	40	1	0.5000000000000003	0.2915475947422644
311252-V	40	1	0.5000000000000003	0.2915475947422644
311252-S	40	1	0.5000000000000003	0.2915475947422644
311252-TP1	40	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	41	1	0.5000000000000003	0.2915475947422644
311252-TC1	41	1	0.5000000000000003	0.2915475947422644
311252-TC2	41	1	0.5000000000000003	0.2915475947422644
311252-V	41	1	0.6249764883946789	0.2145324267926897
311252-S	41	1	0.5000000000000003	0.2915475947422644
311252-TP1	41	1	0.5000000000000003	0.2915475947422644
311252-TP2-2	42	1	0.5000000000000003	0.2915475947422644
311252-TC1	42	1	0.6777227978633636	0.20622413253328842
311252-TC2	42	1	0.5000000000000003	0.2915475947422644
311252-V	42	1	0.5000000000000003	0.2915475947422644
311252-S	42	1	0.5000000000000003	0.2915475947422644
311252-TP1	42	1	0.5000000000000003	0.2915475947422644
