sample_id	cluster_id	size	mean	std
314069-TC-2	0	1213	0.999985121379051	0.0003859287570638766
314069-S	0	1213	0.9997289359410718	0.0016624113233983514
314069-TP2	0	1213	0.999964850008805	0.000593608338274472
314069-TP1	0	1213	0.9999675717843367	0.0005701243876125647
314069-TC-2	1	1	0.5000000000000003	0.2915475947422644
314069-S	1	1	0.5000000000000003	0.2915475947422644
314069-TP2	1	1	0.5054903467195202	0.2615324735925543
314069-TP1	1	1	0.5171116914928595	0.2541800827693287
314069-TC-2	2	1	0.5000000000000003	0.2915475947422644
314069-S	2	1	0.4659776679885089	0.25163472189753044
314069-TP2	2	1	0.538636109270344	0.25355252714367693
314069-TP1	2	1	0.5000000000000003	0.2915475947422644
