sample_id	cluster_id	size	mean	std
313935-TP	11	76	0.9941346746555917	0.009519166061345594
313935-TC	11	76	0.9224071525072556	0.07387616103394165
313935-S	12	1	0.5000000000000003	0.2915475947422644
313935-TC1-2	12	1	0.5000000000000003	0.2915475947422644
313935-TP2-1	12	1	0.5000000000000003	0.2915475947422644
313935-TP	12	1	0.6918223683558762	0.2113739315688191
313935-TC	12	1	0.5000000000000003	0.2915475947422644
313935-S	13	1	0.5000000000000003	0.2915475947422644
313935-TC1-2	13	1	0.7161324708398967	0.21214547514916926
313935-TP2-1	13	1	0.5000000000000003	0.2915475947422644
313935-TP	13	1	0.5000000000000003	0.2915475947422644
313935-TC	13	1	0.5000000000000003	0.2915475947422644
313935-S	14	1	0.5000000000000003	0.2915475947422644
313935-TC1-2	14	1	0.7586287424805368	0.19287460582149585
313935-TP2-1	14	1	0.5000000000000003	0.2915475947422644
313935-TP	14	1	0.5000000000000003	0.2915475947422644
313935-TC	14	1	0.5000000000000003	0.2915475947422644
313935-S	15	1	0.6787086653685617	0.20433171110916715
313935-TC1-2	15	1	0.5000000000000003	0.2915475947422644
313935-TP2-1	15	1	0.5000000000000003	0.2915475947422644
313935-TP	15	1	0.5000000000000003	0.2915475947422644
313935-TC	15	1	0.5000000000000003	0.2915475947422644
313935-S	16	1	0.7328558094587373	0.20238453876973123
313935-TC1-2	16	1	0.5000000000000003	0.2915475947422644
313935-TP2-1	16	1	0.5000000000000003	0.2915475947422644
313935-TP	16	1	0.5000000000000003	0.2915475947422644
313935-TC	16	1	0.5000000000000003	0.2915475947422644
313935-S	17	1	0.5000000000000003	0.2915475947422644
313935-TC1-2	17	1	0.7250963079630525	0.20478604283751436
313935-TP2-1	17	1	0.5000000000000003	0.2915475947422644
313935-TP	17	1	0.5000000000000003	0.2915475947422644
313935-TC	17	1	0.5000000000000003	0.2915475947422644
313935-S	18	1	0.5000000000000003	0.2915475947422644
313935-TC1-2	18	1	0.5000000000000003	0.2915475947422644
313935-TP2-1	18	1	0.5000000000000003	0.2915475947422644
313935-TP	18	1	0.6698702610853834	0.22114728738484932
313935-TC	18	1	0.5000000000000003	0.2915475947422644
313935-S	19	1	0.5000000000000003	0.2915475947422644
313935-TC1-2	19	1	0.7411260306518515	0.20268735327812668
313935-TP2-1	19	1	0.5000000000000003	0.2915475947422644
313935-TP	19	1	0.5000000000000003	0.2915475947422644
313935-TC	19	1	0.5000000000000003	0.2915475947422644
313935-S	20	1	0.5000000000000003	0.2915475947422644
313935-TC1-2	20	1	0.7127985523063889	0.20438006514262258
313935-TP2-1	20	1	0.5000000000000003	0.2915475947422644
313935-TP	20	1	0.5000000000000003	0.2915475947422644
313935-TC	20	1	0.5000000000000003	0.2915475947422644
313935-S	21	1	0.5000000000000003	0.2915475947422644
313935-TC1-2	21	1	0.7161324708398967	0.21214547514916926
313935-TP2-1	21	1	0.5000000000000003	0.2915475947422644
313935-TP	21	1	0.5000000000000003	0.2915475947422644
313935-TC	21	1	0.5000000000000003	0.2915475947422644
313935-S	22	1	0.5000000000000003	0.2915475947422644
313935-TC1-2	22	1	0.7702012164471437	0.18761688989927355
313935-TP2-1	22	1	0.5000000000000003	0.2915475947422644
313935-TP	22	1	0.5000000000000003	0.2915475947422644
313935-TC	22	1	0.5000000000000003	0.2915475947422644
313935-S	23	1	0.5000000000000003	0.2915475947422644
313935-TC1-2	23	1	0.698155117109386	0.21578860751855722
313935-TP2-1	23	1	0.5000000000000003	0.2915475947422644
313935-TP	23	1	0.5000000000000003	0.2915475947422644
313935-TC	23	1	0.5000000000000003	0.2915475947422644
313935-S	24	1	0.5000000000000003	0.2915475947422644
313935-TC1-2	24	1	0.7250963079630525	0.20478604283751436
313935-TP2-1	24	1	0.5000000000000003	0.2915475947422644
313935-TP	24	1	0.5000000000000003	0.2915475947422644
313935-TC	24	1	0.5000000000000003	0.2915475947422644
313935-S	25	1	0.7119101724590687	0.20954672403377708
313935-TC1-2	25	1	0.5000000000000003	0.2915475947422644
313935-TP2-1	25	1	0.5000000000000003	0.2915475947422644
313935-TP	25	1	0.5000000000000003	0.2915475947422644
313935-TC	25	1	0.5000000000000003	0.2915475947422644
313935-S	26	1	0.5000000000000003	0.2915475947422644
313935-TC1-2	26	1	0.7685577809285908	0.1907551162861541
313935-TP2-1	26	1	0.5000000000000003	0.2915475947422644
313935-TP	26	1	0.5000000000000003	0.2915475947422644
313935-TC	26	1	0.5000000000000003	0.2915475947422644
313935-S	27	1	0.5000000000000003	0.2915475947422644
313935-TC1-2	27	1	0.7336737300024971	0.20152550210388018
313935-TP2-1	27	1	0.5000000000000003	0.2915475947422644
313935-TP	27	1	0.5000000000000003	0.2915475947422644
313935-TC	27	1	0.5000000000000003	0.2915475947422644
313935-S	28	1	0.5000000000000003	0.2915475947422644
313935-TC1-2	28	1	0.5000000000000003	0.2915475947422644
313935-TP2-1	28	1	0.5000000000000003	0.2915475947422644
313935-TP	28	1	0.652620062741415	0.22534947918245912
313935-TC	28	1	0.5000000000000003	0.2915475947422644
313935-S	29	1	0.5000000000000003	0.2915475947422644
313935-TC1-2	29	1	0.7411260306518515	0.20268735327812668
313935-TP2-1	29	1	0.761932978595936	0.19256469326653775
313935-TP	29	1	0.5000000000000003	0.2915475947422644
313935-TC	29	1	0.5000000000000003	0.2915475947422644
313935-S	30	1	0.7295365775149514	0.19980277599697163
313935-TC1-2	30	1	0.5000000000000003	0.2915475947422644
313935-TP2-1	30	1	0.5000000000000003	0.2915475947422644
313935-TP	30	1	0.5000000000000003	0.2915475947422644
313935-TC	30	1	0.5000000000000003	0.2915475947422644
313935-S	31	1	0.5000000000000003	0.2915475947422644
313935-TC1-2	31	1	0.7946016642655772	0.1754920610795312
313935-TP2-1	31	1	0.5000000000000003	0.2915475947422644
313935-TP	31	1	0.5000000000000003	0.2915475947422644
313935-TC	31	1	0.5000000000000003	0.2915475947422644
313935-S	32	1	0.5000000000000003	0.2915475947422644
313935-TC1-2	32	1	0.6935039616268631	0.2196476911130277
313935-TP2-1	32	1	0.5000000000000003	0.2915475947422644
313935-TP	32	1	0.5000000000000003	0.2915475947422644
313935-TC	32	1	0.5000000000000003	0.2915475947422644
313935-S	33	1	0.6879094020050723	0.20507816809285367
313935-TC1-2	33	1	0.5000000000000003	0.2915475947422644
313935-TP2-1	33	1	0.5000000000000003	0.2915475947422644
313935-TP	33	1	0.5000000000000003	0.2915475947422644
313935-TC	33	1	0.5000000000000003	0.2915475947422644
313935-S	34	1	0.673916260577091	0.2113885364436381
313935-TC1-2	34	1	0.5000000000000003	0.2915475947422644
313935-TP2-1	34	1	0.5000000000000003	0.2915475947422644
313935-TP	34	1	0.5000000000000003	0.2915475947422644
313935-TC	34	1	0.5000000000000003	0.2915475947422644
313935-S	35	1	0.6924181753496841	0.2155262164188851
313935-TC1-2	35	1	0.5000000000000003	0.2915475947422644
313935-TP2-1	35	1	0.5000000000000003	0.2915475947422644
313935-TP	35	1	0.5000000000000003	0.2915475947422644
313935-TC	35	1	0.5000000000000003	0.2915475947422644
313935-S	36	1	0.6743748503043722	0.2205236699908107
313935-TC1-2	36	1	0.5000000000000003	0.2915475947422644
313935-TP2-1	36	1	0.5000000000000003	0.2915475947422644
313935-TP	36	1	0.5000000000000003	0.2915475947422644
313935-TC	36	1	0.5000000000000003	0.2915475947422644
313935-S	37	1	0.5000000000000003	0.2915475947422644
313935-TC1-2	37	1	0.5000000000000003	0.2915475947422644
313935-TP2-1	37	1	0.5000000000000003	0.2915475947422644
313935-TP	37	1	0.636766819208261	0.22886193906573654
313935-TC	37	1	0.5000000000000003	0.2915475947422644
313935-S	38	1	0.5000000000000003	0.2915475947422644
313935-TC1-2	38	1	0.7545383351491558	0.1970659233095152
313935-TP2-1	38	1	0.5000000000000003	0.2915475947422644
313935-TP	38	1	0.5000000000000003	0.2915475947422644
313935-TC	38	1	0.5000000000000003	0.2915475947422644
313935-S	39	1	0.7328558094587373	0.20238453876973123
313935-TC1-2	39	1	0.5000000000000003	0.2915475947422644
313935-TP2-1	39	1	0.5000000000000003	0.2915475947422644
313935-TP	39	1	0.5000000000000003	0.2915475947422644
313935-TC	39	1	0.5000000000000003	0.2915475947422644
313935-S	40	1	0.5000000000000003	0.2915475947422644
313935-TC1-2	40	1	0.8227288609392084	0.1505758615574059
